Group,Requirement ID,Title,Description,Justification
Safety,,,,
,,,TARS shall enter a Safe-stop on any detected critical fault and shall inhibit movement until fault clearance,
,,,TARS shall mantain constant communication with a base control station during operation,
,,,"TARS shall have five operation modes: AUTONOMOUS, TELEOPERATED, ENABLED, DISABLED, and OFF",
,,,TARS shall inhibit all actuator motion commands unless the system is in ENABLED and either AUTONOMOUS or TELEOPERATED mode,
,,,TARS shall indicate operation mode in a color-agnostic fashion ,
Base Station,,,TARS shall have a base station that displays all relevant telemetry,
,,,The base station of TARS shall be designated B0 where applicable,
,,,TARS shall have a base station that has an interface to send commands to individual coprocessor legs,
,,,TARS shall have a base station that has an emergency software shutoff system,
Construction,,,TARS shall have two 5-inch touchscreen displays located on the two inner front legs,
,,,TARS shall indicate the current operation mode on at least one of the front displays,
,,,TARS shall recieve movement objectives as standardized commands from the base station,
,,,"TARS shall use 3D printed PETG parts for prototype brackets, cable management, and component mounts where practical",
,,,TARS shall use a Jeston Orin Nano as the primary on-board computer,
,,,The primary on-board computer for TARS shall be located in the rightmost leg,
,,,TARS shall use three Raspberry pi zero w microcontrollers as coprocessors,
,,,TARS shall use coprocessors to aggregate accelerometer data,
,,,"TARS shall have overall dimensions: Height: 30 inches, Width: 15 inches, Depth: 3.75 inches",
,,,"Each leg of TARS shall have overall dimensions: Height: 30 inches, Width: 3.75 inches, Depth: 3.75 inches",
,,,"TARS shall implement Safe-stop by a) commanding actuators to a non-driving disabled state, and b) asserting a software inhibit that blocks further actuation",
,,,"TARS shall publish telemetry including operation mode, fault status, battery statys, IMU status, and actuator status to the base station at an update rate greater than or equal to 20Hz",
,,,TARS shall enter Safe-stop upon loss of base station communications for longer than a defined timeout,
Software,,,,
,,,TARS shall perform all necessary movement calculations on the on-board Jetson Orin Nano,
Electrical,,,TARS shall power each leg independently with a 6S 5000 mAh battery,
,,,TARS shall operate from a nominal 6S LiPo battery supply,
,,,TARS shall use 14 AWG wire for main battery and actuator power distribution where current requires,
,,,"TARS shall use 22-26 AWG wire for data transfer, as determined by the Electrical team",
,,,TARS shall terminate power wiring using crimped connectors or ferrules appropriate for terminal type,
,,,TARS shall use keyed detachable connectors for battery input and servo power harnesses,
,,,TARS shall provue overcurent protection on the main battery feed using an inline fuse,
,,,TARS shall generate a regulated 5V electronics supply rail from the 6S input using a DC buck converter,
,,,,
,,,"TARS shall have four legs, each labeled L0-3",
,,,L1 of TARS shall hold the main computer,
,,,"L0 of TARS shall contrain coprocessor, will have Raspberry Pi Pico",
,,,"L2 of TARS shall contain coprocessor, will have Raspberry Pi 0W",
,,,"L3 of TARS shall contain coprocessor, will have Raspberry Pi Pico",
,,,Each coprocessor of TARS shall be responsible for aggregating data from the sensors in that leg,
,,,Each coprocessor of TARS shall independently transmit telemetry to the central computer via USB bus,
,,,Each coprocessor of TARS shall connect to B0,
,,,Each coprocessor of TARS shall recieve commands via USB bus,
,,,Each coprocessor of TARS shall recieve commands via B0,
,,,The central computer of TARS shall recieve commands from B0,
,,,"Direct manipulation of TARS shall be enacted via the central computer, except for in instances of testing",
,,,TARS shall support wireless software updates via connection to B0,
,,,Each leg of TARS shall independently listen for a leg-specific emergency stop from B0,
,,,Each leg of TARS shall independently listen for a global software E-stop signal from B0,
,,,B0 shall have an interface for command-line access to each coprocessor and the central computer within TARS,
,,,,
Telem,,,TARS shall collect rotational position of each linear screw as telemetry,
,,,TARS shall actuate the active carriage of each leg via linear screw driven by a NEMA-17 stepper motor,
,,,TARS shall actuate the passive carriage of each leg via linear screw driven by a NEMA-17 stepper motor,
,,,TARS shall report rotational position of each leg as telemetry,
,,,TARS shall calculate rotational position of each leg as an aggregate position from three MPU 6050 accelerometer/gyroscope chips using the madgewick AHRS algorithm,
,,,TARS shall calculate linear position of the active and passive carriages as a function of the reported position from rotary encoders,
,,,TARS shall have a rotary encoder attached to one end of the main lead screw rod,
,,,Each leg of TARS shall identify its role within TARS as a function of the available components and physical position on the USB bus,
,,,TARS shall use ROS Kilted as a primary code framework,
,,,TARS shall use python as the primary programming language,
,,,TARS shall boot into DISABLED and require explicit ENABLE,
,,,E-stop shall require deliberate reset action and shall not auto-reenable,
